genus_and_species,superkingdom,phylum,class,order,family,genus,Tmin,Topt_ave,Tmax,gc_count,gc_percentage,genome_size,accession,coding_bases,coding_density,ncbi_biosample,ncbi_country,ncbi_isolation_source,ncbi_lat_lon,gtdb_representative,ncbi_ncrna_count,ncbi_organism_name,ncbi_protein_count,ncbi_rrna_count,ncbi_trna_count,protein_count,trna_aa_count,trna_count,checkm2_completeness,checkm2_contamination
Roseicyclus mahoneyensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseicyclus,4,30,37,2630877,65.28088220406106,4030284,RS_GCF_003148775.1,3672238,91.11610993170704,SAMN08770121,Canada: south-central British Columbia,none,none,TRUE,0,Roseicyclus mahoneyensis,3907,3,44,3951,19,44,99.99,0.08
Roseicyclus marinus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseicyclus,16,30,42,2339120,65.84450178761888,3552491,RS_GCF_036322625.1,3237610,91.13633222434623,SAMD00492502,none,none,none,TRUE,0,Roseicyclus marinus,none,3,42,3370,19,43,99.93,0
Roseiflexus castenholzii,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,Roseiflexus,45,50,55,2857695,60.185339241027776,4748158,GB_GCA_002877835.1,4183977,88.1178975088866,SAMN08107310,Russia: Uzon Caldera; Kamchatka; Zavarzin hot spring,hot spring,54.295 N 160.052 E,FALSE,0,Roseiflexus castenholzii,4666,1,36,5002,19,36,91.47,5.37
Roseimaritima ulvae,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Roseimaritima,15,30,35,4854197,59.10731365483046,8212515,RS_GCF_008065135.1,7189314,87.54095426309723,SAMN10980022,none,none,none,TRUE,0,Roseimaritima ulvae,none,3,67,5833,19,68,100,2.24
Roseimicrobium gellanilyticum,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Roseimicrobium,20,28,30,4732027,59.672396377810365,7930206,RS_GCF_003315205.1,7063845,89.07517660953575,SAMN09062770,none,none,none,TRUE,0,Roseimicrobium gellanilyticum,none,3,63,6521,19,66,99.73,1.62
Roseisalinus antarcticus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseisalinus,3,21,33.5,3338283,66.72406421836628,5003117,RS_GCF_900172355.1,4473759,89.4194359236452,SAMEA102065668,none,water,none,TRUE,0,Roseisalinus antarcticus,4684,4,45,4797,19,45,100,0.11
Roseisolibacter agri,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Roseisolibacter,15,22.5,36,4381035,73.89624584431816,5928727,RS_GCF_030159095.1,5334425,89.97589195791947,SAMD00520031,Namibia:Kavango region,semi-arid agricultural soil,17.89233 S 20.18761 E,TRUE,0,Roseisolibacter agri,none,12,51,5038,19,50,100,2.36
Roseitalea porphyridii,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Roseitalea,15,33.5,45,2355974,66.55910491141552,3539672,RS_GCF_004331955.1,3222867,91.04987693775016,SAMN11037189,South Korea,red alga,none,TRUE,1,Roseitalea porphyridii,none,3,42,3412,19,42,99.99,0
Roseivirga echinicomitans,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Roseivirga,4,22,31,1677545,40.03775261891192,4189908,RS_GCF_001592935.1,3821023,91.19586873983867,SAMN04382068,Japan,none,none,TRUE,0,Roseivirga echinicomitans,3712,3,36,3775,19,36,99.96,0
Roseivirga ehrenbergii,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Roseivirga,4,24,39,1668866,39.325581636471426,4243716,RS_GCF_001593005.1,3876345,91.34317659334414,SAMN03084331,Japan: Pallada Bay; Gulf of Peter the Great; Sea of Japan,none,none,TRUE,0,Roseivirga ehrenbergii,3704,3,38,3763,19,37,99.99,0.03
Roseivirga seohaensis,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Roseivirga,4,30,40,1634978,39.299238281578624,4160330,RS_GCF_001592945.1,3794825,91.21451904055688,SAMN04423148,Japan,sea water,none,TRUE,0,Roseivirga seohaensis,3688,3,39,3731,19,38,99.94,0.23
Roseivirga spongicola,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Roseivirga,12,25,44,1802305,40.22015581445534,4481099,RS_GCF_001592965.1,4082968,91.11532684281244,SAMN04423155,Bahamas,marine sponge,none,TRUE,0,Roseivirga spongicola,3919,3,39,3991,19,39,99.98,0.07
Roseivivax isoporae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseivivax,10,37.5,40,3417809,69.77643751985411,4898228,RS_GCF_000521865.1,4456733,90.98663843332731,SAMN02641562,none,none,none,TRUE,0,Roseivivax isoporae LMG 25204,4671,4,43,4751,19,44,99.85,0.88
Roseivivax jejudonensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseivivax,15,30,40,2932102,67.98496963041762,4312868,RS_GCF_900172265.1,3853342,89.3452338443931,SAMEA102345418,none,Zone where the ocean and a freshwater spring meet at soesokkak; located at Jeju Island,none,TRUE,0,Roseivivax jejudonensis,4047,3,44,4110,19,43,99.98,0.16
Roseivivax lentus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseivivax,10,30,40,2934320,66.0982179079605,4439333,RS_GCF_900156805.1,3925560,88.42679744907625,SAMN05421759,none,none,none,TRUE,0,Roseivivax lentus,4118,3,45,4165,19,45,99.99,0.12
Roseivivax marinus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseivivax,4,32,37,2716532,67.69169431573387,4013190,RS_GCF_900109705.1,3568081,88.90884807347771,SAMN05444413,none,none,none,TRUE,0,Roseivivax marinus,3692,3,45,3753,19,45,99.7,0.14
Roseivivax pacificus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseivivax,10,32.5,40,3208661,66.23357428883243,4845108,RS_GCF_003054175.1,4326592,89.29815393175963,SAMN08777458,none,none,none,TRUE,0,Allosediminivita pacifica,4571,3,45,4627,19,45,99.48,0.08
Roseivivax roseus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseivivax,10,30,37,2869787,67.79414092306094,4233461,RS_GCF_900111315.1,3851740,90.98324042668636,SAMN04490244,none,none,none,TRUE,0,Tranquillimonas rosea,4022,4,45,4089,19,46,100,0.06
Rosenbergiella nectarea,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Rosenbergiella,4,29,35,1561061,47.45669707607033,3294717,RS_GCF_900111105.1,2894100,87.84062485488131,SAMN05216522,none,none,none,TRUE,4,Rosenbergiella nectarea,3189,10,56,3238,18,57,100,0.16
Roseobacter ponti,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,4,25,35,2399050,60.54184707079715,3962631,RS_GCF_012932215.1,3597106,90.7756992765665,SAMN14082710,South Korea,seawater,none,TRUE,0,Roseobacter ponti,none,3,42,3821,19,42,99.94,0
Roseococcus suduntuyensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseococcus,20,25.5,35,2929341,70.78419712300204,4138894,RS_GCF_014196305.1,3846198,92.92815906858208,SAMN13172674,Russia: Eastern Siberia; Chita oblast; lake Shuluutai-Ekhe-Torom,none,52.06 N 113.47 E,TRUE,0,Roseococcus suduntuyensis,none,3,48,3918,19,48,100,0.03
Roseomonas aeriglobus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,10,27.5,30,2826668,66.03761198451264,4280391,GB_GCA_016937575.1,3835578,89.60812224864505,SAMN17980854,South Korea: Seoul,air conditioning system,none,TRUE,0,Roseomonas aeriglobus,none,6,52,4159,19,52,100,3.63
Roseomonas aerilata,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,5,30,35,4483323,69.7416912176134,6428469,RS_GCF_000711725.1,5661372,88.06718987055861,SAMN02745777,South Korea: Suwon region,none,none,TRUE,1,Roseomonas aerilata DSM 19363,5949,10,44,6159,19,44,99.1,2.79
Roseomonas aerophila,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,4,30,40,3904713,68.90434914573504,5667125,RS_GCF_014490485.1,4912126,86.67756578512032,SAMN15965634,South Korea: Taean Region,air sample,none,TRUE,1,Pseudoroseomonas aerophila,none,3,45,5060,19,45,99.91,0.48
Roseomonas aestuarii,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,20,30,40,3714733,71.49559322608032,5195849,RS_GCF_003116135.1,4638277,89.26889522770966,SAMN07786989,Russia: South Urals; near Lake Karachai,Groundwater near Lake Karachai (Russia),none,TRUE,1,Pseudoroseomonas aestuarii,4821,4,52,4855,19,52,99.95,0.36
Roseomonas alkaliterrae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,5,45,55,3081493,72.7430654325537,4236229,RS_GCF_014199195.1,3909579,92.28913262243375,SAMN12025196,none,none,none,TRUE,1,Neoroseomonas alkaliterrae,none,3,46,4081,19,46,100,0.08
Roseomonas aquatica,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,15,26.5,35,4596443,70.7336710761177,6499220,RS_GCF_030409335.1,5808819,89.37717141441588,SAMN35653730,Spain,drinking water,none,TRUE,1,Paeniroseomonas aquatica,none,3,47,6258,19,47,98.65,1.95
Roseomonas arctica,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,4,19,25,3085015,69.49114707363728,4439436,RS_GCF_018128965.1,4087217,92.06613182395242,SAMN13932596,Norway,soil,none,TRUE,1,Plastoroseomonas arctica,none,3,48,4212,19,48,99.02,0.31
Roseomonas deserti,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,13,32.5,42,4443280,71.09404975661863,6249862,RS_GCF_001982615.1,5642348,90.27956137271512,SAMN05898134,Kuwait,hydrocarbon contaminated soil,none,TRUE,1,Pseudoroseomonas deserti,5953,3,49,6085,19,50,99.99,1.14
Roseomonas eburnea,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,15,30,35,4174968,71.20715385809287,5863130,RS_GCF_018129005.1,5278362,90.02635111280152,SAMN13932575,China,activated sludge,none,TRUE,1,Neoroseomonas eburnea,none,3,46,5545,19,46,100,0.18
Roseomonas frigidaquae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,15,30,37,4276173,70.25513608999654,6086634,RS_GCF_012163145.1,5604798,92.08370340651337,SAMN14422480,none,water-cooling system,none,TRUE,1,Falsiroseomonas frigidaquae,none,3,46,5681,19,47,97.9,1.26
Roseomonas lacus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,15,30,40,4400210,68.72478194198844,6402673,RS_GCF_014644535.1,5716106,89.27686920759501,SAMD00245122,none,none,none,TRUE,1,Neoroseomonas lacus,none,3,47,6083,19,48,97.02,0.15
Roseomonas nepalensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,10,28.5,37,4698079,71.89317814380077,6535210,RS_GCF_006438825.1,5730201,87.6819719641756,SAMN10245002,Canada: Axel Heiberg Island,Ice-wedge polygon,none,TRUE,1,Roseomonas nepalensis,none,14,48,6171,19,48,98.19,1.3
Roseomonas oryzae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,4,30,45,3226590,69.0045360154494,4676020,RS_GCF_008386565.1,4187994,89.5632182924795,SAMN12672762,India: Karnataka,rhizosphere soil,15.69 N 74.21 E,TRUE,1,Pseudoroseomonas oryzae,none,7,46,4319,19,46,99,1.68
Roseomonas oryzicola,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,10,30,40,3779837,71.24194771067887,5305674,RS_GCF_012163135.1,4906783,92.4818034428802,SAMN13881500,South Korea: Jinju,rhizosphere of rice,35.11 N 128.5 E,TRUE,1,Neoroseomonas oryzicola,none,3,48,5081,19,48,99.6,0.12
Roseomonas pecuniae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,10,30,35,3509339,71.37691874312283,4916726,RS_GCF_014199205.1,4399537,89.48102863572223,SAMN12025143,none,none,none,TRUE,1,Roseomonas pecuniae,none,5,47,4618,19,47,99.98,0.84
Roseomonas rhizosphaerae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,15,28,40,3344610,71.86936944196435,4653735,RS_GCF_002631185.1,4188936,90.01234492294898,SAMN07786982,China: Jiangsu,soil under the long-term application of triazophos,none,TRUE,1,Pseudoroseomonas rhizosphaerae,4318,6,50,4360,19,49,100,0.7
Roseomonas soli,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,15,30,40,3715503,70.8309432317757,5245593,RS_GCF_018129065.1,4747937,90.51287433089072,SAMN13932593,China,soil,none,TRUE,1,Neoroseomonas soli,none,3,47,5125,19,47,99.34,0.14
Roseomonas terrae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,10,25,36,3996486,69.2498790093897,5771109,RS_GCF_018129025.1,5179163,89.74294195448397,SAMN13932595,South Korea,soil,none,TRUE,1,Neoroseomonas terrae,none,3,47,5520,19,47,98.27,0.52
Roseomonas tokyonensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,25,30,40,4346627,70.52425418298097,6163512,RS_GCF_019024325.1,5669481,91.9845860606745,SAMN18253724,Japan: Tokyo,biofilm in a cooling tower,none,TRUE,1,Falsiroseomonas tokyonensis,none,3,49,5880,19,48,99.7,2.64
Roseovarius aestuarii,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,10,30,37,2757047,57.97135670847739,4755878,RS_GCF_019966515.1,4218155,88.69350727667951,SAMN20953794,South Korea: Yellow Sea coast,sediment,none,TRUE,0,Roseovarius aestuarii,none,3,45,4577,19,47,99.72,0.14
Roseovarius aestuariivivens,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,10,30,40,2444963,62.03030676670822,3941562,RS_GCF_004761875.1,3532441,89.62033325874361,SAMN11026382,none,tidal flat sediment,none,TRUE,0,Roseovarius aestuariivivens,none,3,43,3808,19,43,99.77,0.08
Roseovarius atlanticus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,4,26.5,45,2795360,64.96961696104533,4302565,RS_GCF_019802205.1,3873822,90.03517669111332,SAMN19953139,China: Shenzhen,sediment,22.553 N 114.544 E,TRUE,0,Roseovarius atlanticus,none,3,42,4225,19,42,99.67,0.01
Roseovarius azorensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,15,30,40,2435248,63.13654798290847,3857113,RS_GCF_900109455.1,3491242,90.51438212984684,SAMN05443999,none,none,none,TRUE,0,Roseovarius azorensis,3796,3,43,3803,19,43,99.97,0.08
Roseovarius confluentis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,15,30,40,2820994,63.22959339541846,4461509,RS_GCF_002917925.1,3985665,89.33446060514503,SAMN08378603,South Korea: an estuary in the Asan area,estuary sediment,none,TRUE,0,Roseovarius confluentis,4306,3,42,4336,19,43,99.96,0.23
Roseovarius gaetbuli,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,4,30,35,2493942,60.3801130301329,4130403,RS_GCF_900172365.1,3702740,89.6459740127053,SAMEA102342418,none,Tidal flat sediment collected from the coast at Youngkwang of the Yellow Sea in South Korea,none,TRUE,0,Roseovarius gaetbuli,3950,5,43,4038,19,43,99.98,0.01
Roseovarius halotolerans,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,10,35,45,2376580,63.791506365649255,3725543,RS_GCF_900172255.1,3380792,90.74628852760524,SAMEA102125668,none,Deep seawater of the East Sea of Korea,none,TRUE,0,Roseovarius halotolerans,3626,3,42,3650,19,42,99.97,0.2
Roseovarius indicus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,10,25,39,3972526,64.35257040060327,6173065,RS_GCF_008728195.1,5576429,90.33484986793432,SAMN09772271,Indian Ocean:South-west Indian Ridge,none,none,TRUE,0,Roseovarius indicus,none,3,47,5955,19,48,99.99,1.76
Roseovarius litoreus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,10,30,40,2467430,62.750356867016585,3932137,RS_GCF_900142765.1,3546088,90.18220880910305,SAMN05443432,none,none,none,TRUE,0,Roseovarius litoreus,none,3,42,3747,19,42,99.96,0.02
Roseovarius lutimaris,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,15,30,40,2564465,59.866142660548846,4283675,RS_GCF_900115165.1,3857943,90.061524275301,SAMN04487859,none,none,none,TRUE,0,Roseovarius lutimaris,4151,3,44,4213,19,47,99.95,0.09
Roseovarius marisflavi,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,0,32.5,37,2458613,60.256932476123815,4080216,RS_GCF_900142625.1,3645754,89.35198528705342,SAMN05444414,none,none,none,TRUE,0,Roseovarius marisflavi,3943,3,43,3978,19,43,99.99,0.24
Roseovarius nitratireducens,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,4,30,42,2563546,65.42416993696577,3918493,RS_GCF_002925845.1,3514638,89.69361435633546,SAMN07768646,China,saline lake water,30.14 N 120.86 E,TRUE,0,Roseovarius nitratireducens,3858,5,46,3852,19,46,99.95,0.24
Roseovarius nubinhibens,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,10,30,40,2391167,63.94809520995093,3739335,RS_GCF_018860885.1,3388286,90.61199384382518,SAMN19350926,USA: Massachusetts; Nahant; Canoe Beach,alginate 40-100 m particle (artificial) mid colonization,42.25 N 70.54 W,FALSE,0,Roseovarius nubinhibens,none,3,42,3535,19,42,99.99,0.05
Roseovarius pacificus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,4,25,45,2819368,62.00464611272376,4547027,RS_GCF_900142665.1,4083672,89.80971522711434,SAMN05444398,none,none,none,TRUE,0,Roseovarius pacificus,4376,3,41,4436,19,42,99.98,0.74
Roseovarius salinarum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,20,33,50,2315257,68.08614190576512,3400809,RS_GCF_002834145.1,3078778,90.53075312374204,SAMN07249050,China,sediment,none,TRUE,0,Roseovarius salinarum,3302,3,42,3355,19,42,99.96,0.17
Rothia endophytica,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,4,35,45,1480867,56.67405549427965,2612954,RS_GCF_928381505.1,2315936,88.632865331728,SAMEA11953806,none,porcine tonsil microbiota,none,TRUE,0,Rothia endophytica,none,13,52,2357,19,52,100,0.39
Rothia terrae,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,15,35,40,1324512,53.356171474586866,2482397,RS_GCF_012396615.1,2146180,86.45595366091725,SAMN14517838,Taiwan,wasteland soil,none,TRUE,0,Rothia terrae,none,6,51,2240,19,51,99.98,0.08
Ruania albidiflava,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Ruaniaceae,Ruania,20,28,37,2430531,70.34940094508099,3454942,RS_GCF_027322255.1,3162985,91.54958317679429,SAMN28404158,China: Jiangxi; Dexing,sediment,29.00251 N 117.72754 E,FALSE,0,Ruania albidiflava,none,3,44,3326,18,44,95.74,2.46
Rubellimicrobium mesophilum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,20,28,37,3429379,69.7005160194896,4921837,RS_GCF_000600335.2,4240075,86.14822067451645,SAMN02951863,South Korea,soil sample,none,TRUE,0,Rubellimicrobium mesophilum DSM 19309,4754,5,44,5074,19,45,91.6,3.74
Rubellimicrobium roseum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,25,28,30,3353336,69.12320445576341,4851245,RS_GCF_006152145.1,4235332,87.30402195725014,SAMN11936761,China,none,none,TRUE,1,Rubellimicrobium roseum,none,3,44,4708,19,45,99.37,1.08
Rubellimicrobium rubrum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,20,28,30,3071847,66.55039266037396,4615821,RS_GCF_006152115.1,4024672,87.19298257016466,SAMN11936696,Germany,none,none,TRUE,1,Rubellimicrobium rubrum,none,3,44,4424,20,44,99.98,0.16
Rubellimicrobium thermophilum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,28,48.5,56,2185501,69.17817129779836,3163144,RS_GCF_000442315.1,2789470,88.18662697619837,SAMN02469744,Finland,none,none,TRUE,1,Rubellimicrobium thermophilum DSM 16684,3031,3,38,3231,18,38,88.85,0.15
Rubeoparvulum massiliense,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Rubeoparvulum,25,37,56,1244365,43.75721307520868,2843796,RS_GCF_001049895.1,2493864,87.69489794626618,SAMEA3375520,none,none,none,TRUE,1,Rubeoparvulum massiliense,2701,9,67,2735,19,67,97.04,0.41
Rubricella aquisinus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubricella,10,29,42,2007355,61.89845083890408,3243171,RS_GCF_014199445.1,2988283,92.14077826916927,SAMN12025136,none,none,none,TRUE,0,Rubricella aquisinus,none,3,42,3204,19,42,99.7,0.1
Rubricoccus marinus,Bacteria,Rhodothermaeota,Rhodothermia,Rhodothermales,Rubricoccaceae,Rubricoccus,5,25,37,3047676,68.96224323088967,4430441,RS_GCF_002257665.1,3958255,89.34223477978828,SAMN06091620,Pacific Ocean: Western North Pacific Station S,seawater,none,TRUE,0,Rubricoccus marinus,3698,3,46,3749,19,46,97.71,0.04
Rubripirellula obstinata,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Rubripirellula,10,25,30,3559594,54.10782213216735,6578705,RS_GCF_001642955.1,5646217,85.82566021732241,SAMN03252601,Portugal: Porto; Foz,macro-algae,41.09 N 8.40 W,TRUE,0,Rubripirellula obstinata,5145,3,64,5358,19,63,99.99,2.07
Rubritalea marina,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Rubritalea,8,27.5,30,1553514,51.56035460990553,3013271,RS_GCF_000378105.1,2725060,90.43527780939716,SAMN02441342,France,none,42.48346 N 3.13333 E,TRUE,0,Rubritalea marina DSM 17716,2596,7,44,2679,19,44,95.5,0.19
Rubritalea profundi,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Rubritalea,4,10,15,1979831,49.43085992320585,4167407,RS_GCF_002954445.1,3488191,83.7017118798332,SAMN06090799,Pacific Ocean: Northwestern Pacific Ocean station K2,deep sea water,none,TRUE,1,Rubritalea profundi,3582,2,43,3931,19,44,95.82,2.58
Rubritalea squalenifaciens,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Rubritalea,15,30,37,2245875,51.97415588208476,4322488,RS_GCF_900141815.1,3897452,90.1668668600121,SAMN02745181,none,none,none,TRUE,1,Rubritalea squalenifaciens DSM 18772,none,6,43,3868,19,43,96.74,0.09
Rubrivirga marina,Bacteria,Rhodothermaeota,Rhodothermia,Rhodothermales,Rubricoccaceae,Rubrivirga,10,27.5,37,3606722,72.45698953461228,4981075,RS_GCF_002283365.1,4508687,90.51634436341551,SAMN06091685,Pacific Ocean: Western North Pacific Ocean,seawater,none,TRUE,0,Rubrivirga marina,4212,3,47,4258,19,47,96.99,0.83
Rubrivivax albus,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,NA,Rubrivivax,25,30,37,3731612,70.27040157910169,5310361,RS_GCF_004016515.1,4894311,92.165316067966,SAMN10667466,Taiwan,water,none,TRUE,0,Rubrivivax albus,none,3,43,4861,19,43,99.98,0.07
Rubrobacter calidifluminis,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter,43,60,67.5,2047951,66.26611594582745,3090495,RS_GCF_028617075.1,2855941,92.41047146169142,SAMN32795443,Portugal: S.Miguel; Azores,hot stream water,none,TRUE,0,Rubrobacter calidifluminis,none,3,46,3147,19,46,96.11,0.82
Rubrobacter naiadicus,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter,43,60,67.5,1961430,66.50858657682348,2949138,RS_GCF_028617085.1,2739569,92.8938896721686,SAMN32795712,Portugal: S.Miguel; Azores,hot stream water,none,TRUE,0,Rubrobacter naiadicus,none,3,47,2992,19,47,99.05,0.91
Rubrobacter taiwanensis,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter,30,60,70,2038929,67.17902201861705,3035128,RS_GCF_004337705.1,2810048,92.58416778468651,SAMN11042140,USA: Yellowstone National Park,none,44.5387 N 110.798 W,TRUE,1,Rubrobacter taiwanensis,none,3,46,3129,19,46,99.69,0.4
Rudaea cellulosilytica,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rudaea,5,29,35,2764605,63.65541589273417,4343639,RS_GCF_000378125.1,3939500,90.69584281750856,SAMN02441343,South Korea,none,none,TRUE,2,Rudaea cellulosilytica DSM 22992,3688,3,46,3698,19,47,99.99,0
Rudaeicoccus suwonensis,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermacoccaceae,Rudaeicoccus,10,28,37,2543292,66.44204883439333,3827835,RS_GCF_007829035.1,3456523,90.2996863762414,SAMN05877996,none,none,none,TRUE,0,Rudaeicoccus suwonensis,none,6,47,3509,19,47,99.95,0.07
Rudanella lutea,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Rudanella,4,30,40,3557073,54.351258388402904,6546036,RS_GCF_000383955.1,5843324,89.26507584131832,SAMN02261300,Korea,air sample,37.263 N 127.028 E,TRUE,0,Rudanella lutea DSM 19387,5185,9,39,5304,19,39,99.83,0.02
